year,province,gdp
1974,甘肃,49.6
1974,青海,11.8
1974,宁夏,11.4
1974,新疆,25.1
1975,北京,91.3
1975,天津,69.7
1975,河北,132.8
1975,山西,69.8
1975,内蒙古,48.6
1975,辽宁,198.5
1975,吉林,72.3
1975,黑龙江,141.5
1975,上海,204.1
1975,江苏,184.2
1975,浙江,84.2
1975,安徽,97.1
1975,福建,46.5
1975,江西,68.1
1975,山东,166.2
1975,河南,127.8
1975,湖北,120.1
1975,湖南,118.4
1975,广东,157.7
1975,广西,67.0
1975,海南,0
1975,重庆,50.4
1975,四川,117.0
1975,贵州,31.1
1975,云南,54.3
1975,西藏,5.1
1975,陕西,64.9
1975,甘肃,57.4
1975,青海,12.4
1975,宁夏,12.1
1975,新疆,28.1
1976,北京,93.8
1976,天津,65.3
1976,河北,134.0
1976,山西,64.6
1976,内蒙古,48.1
1976,辽宁,204.0
1976,吉林,67.3
1976,黑龙江,144.2
1976,上海,208.1
1976,江苏,188.0
1976,浙江,87.3
1976,安徽,105.8
1976,福建,46.9
1976,江西,64.3
1976,山东,179.6
1976,河南,125.5
1976,湖北,114.6
1976,湖南,118.5
1976,广东,156.4
1976,广西,67.3
1976,海南,0
1976,重庆,50.4
1976,四川,133.1
1976,贵州,29.3
1976,云南,49.3
1976,西藏,5.4
1976,陕西,62.9
1976,甘肃,56.5
1976,青海,12.2
1976,宁夏,11.1
1976,新疆,31.8
1977,北京,99.1
1977,天津,67.7
1977,河北,158.2
1977,山西,75.3
1977,内蒙古,51.7
1977,辽宁,203.8
1977,吉林,72.9
1977,黑龙江,155.7
1977,上海,230.4
1977,江苏,202.4
1977,浙江,100.0
1977,安徽,108.1
1977,福建,52.4
1977,江西,74.8
1977,山东,207.1
1977,河南,144.1
1977,湖北,131.1
1977,湖南,129.2
1977,广东,168.9
1977,广西,68.8
1977,海南,0
1977,重庆,56.7
1977,四川,156.2
1977,贵州,37.7
1977,云南,55.8
1977,西藏,5.8
1977,陕西,70.0
1977,甘肃,58.7
1977,青海,13.1
1977,宁夏,12.1
1977,新疆,35.7
1978,北京,108.8
1978,天津,82.7
1978,河北,183.1
1978,山西,88.0
1978,内蒙古,58.0
1978,辽宁,229.2
1978,吉林,82.0
1978,黑龙江,174.8
1978,上海,272.8
1978,江苏,249.2
1978,浙江,123.7
1978,安徽,114.0
1978,福建,66.4
1978,江西,87.0
1978,山东,225.5
1978,河南,162.9
1978,湖北,151.0
1978,湖南,147.0
1978,广东,185.9
1978,广西,75.9
1978,海南,16.4
1978,重庆,71.7
1978,四川,184.8
1978,贵州,46.6
1978,云南,69.1
1978,西藏,6.7
1978,陕西,81.1
1978,甘肃,64.7
1978,青海,15.5
1978,宁夏,13.0
1978,新疆,39.1
1979,北京,120.1
1979,天津,93.0
1979,河北,203.2
1979,山西,106.4
1979,内蒙古,64.1
1979,辽宁,245.0
1979,吉林,91.1
1979,黑龙江,187.2
1979,上海,286.4
1979,江苏,298.6
1979,浙江,157.8
1979,安徽,127.3
1979,福建,74.1
1979,江西,104.2
1979,山东,251.6
1979,河南,190.1
1979,湖北,188.5
1979,湖南,178.0
1979,广东,209.3
1979,广西,84.6
1979,海南,17.5
1979,重庆,81.0
1979,四川,205.8
1979,贵州,55.3
1979,云南,76.8
1979,西藏,7.3
1979,陕西,94.5
1979,甘肃,67.5
1979,青海,15.2
1979,宁夏,14.4
1979,新疆,45.6
1980,北京,139.1
1980,天津,103.5
1980,河北,219.2
1980,山西,108.8
1980,内蒙古,68.4
1980,辽宁,281.0
1980,吉林,98.6
1980,黑龙江,221.0
1980,上海,311.9
1980,江苏,319.8
1980,浙江,179.9
1980,安徽,140.9
1980,福建,87.1
1980,江西,111.2
1980,山东,292.1
1980,河南,229.2
1980,湖北,199.4
1980,湖南,191.7
1980,广东,249.7
1980,广西,97.3
1980,海南,19.3
1980,重庆,90.7
1980,四川,229.3
1980,贵州,60.3
1980,云南,84.3
1980,西藏,8.7
1980,陕西,94.9
1980,甘肃,73.9
1980,青海,17.8
